 County, FIPS, Total,Commercial,Industrial,Residential,Electricity Prod,Onroad,Cement,Aircraft,Airborne,Nonroad
Giles,51071,0.50481735,0.001021726,0.023964533,0.005084332,0.442850896,0.029919122,0,0,0,0.001976741
Gloucester,51073,0.082241882,0.002788269,0.005215633,0.010037452,0.003294052,0.053985572,0,0,0,0.006920904
Goochland,51075,0.085790639,0.004397013,0.003815907,0.004961354,0,0.066144149,0,0,0,0.006472216
Grayson,51077,0.036564687,0.000521273,0.008559246,0.006351642,0,0.018780387,0,0,0,0.002352139
Greene,51079,0.054339364,0.000703965,0.025276666,0.004562313,0,0.021732877,0,0,0,0.002063543
Greensville,51081,0.098008504,0.001365021,0.044760943,0.003488488,0,0.042734454,0,0.00093763,0.002356905,0.002365063
Halifax,51083,1.84849753,0.002714562,0.080655805,0.012424797,1.678339136,0.062384419,0,0.001640525,0.004123764,0.006214522
Hanover,51085,0.393310742,0.01108673,0.085909956,0.026026519,0.018999717,0.210861046,0,0.006403868,0.016097305,0.017925602
Henrico,51087,0.872182551,0.053827397,0.222932681,0.076160209,2.5661E-07,0.392091346,0,0.024144265,0.060691069,0.042335328
Henry,51089,0.278362892,0.002443425,0.154314452,0.017820238,0.000459213,0.087540388,0,0.00255039,0.006410878,0.006823907
Highland,51091,0.007524635,0.000134245,0.001668669,0.000778916,0,0.004356532,0,0,0,0.000586272
Isle of Wight,51093,0.194734513,0.001784266,0.114119414,0.008646528,0,0.058789618,0,0.001057594,0.00265846,0.007678632
James City,51095,0.181221204,0.006868971,0.0678487,0.013715916,0,0.07186846,0,0.002174762,0.005466667,0.013277726
King and Queen,51097,0.030135146,0.000185876,0.004343223,0.002149636,0,0.017241648,0,0.000996535,0.002504975,0.002713255
King George,51099,0.055049461,0.004974183,0.002255035,0.005142251,0,0.03880091,0,0,0,0.003877082
King William,51101,0.148216694,0.000835399,0.121167138,0.00397832,0,0.018991903,0,0,0,0.003243933
Lancaster,51103,0.031217141,0.001405862,0.004733369,0.003798068,0,0.016843049,0,0,0,0.004436794
Lee,51105,0.052722998,0.001319952,0.010754303,0.006681125,0,0.031099895,0,0,0,0.002867722
Loudoun,51107,0.828524396,0.0244504,0.080152406,0.051717019,0,0.291074317,0,0.089407793,0.224743004,0.066979457
Louisa,51109,0.10546876,0.001083047,0.025915613,0.007817732,3.88853E-05,0.062221106,0,0.000706987,0.001777138,0.005908252
Lunenburg,51111,0.031279455,0.000660969,0.009366042,0.004331384,0,0.013233046,0,0.000473446,0.001190095,0.002024472
Madison,51113,0.041296627,0.000886626,0.006311736,0.00384642,0,0.027851795,0,0,0,0.00240005
Mathews,51115,0.020984521,0.000395923,0.002929251,0.00296764,0,0.010454063,0,0,0,0.004237643
