BINs,Type,Score,S_EUI,BBL
1087362,Hotel,74,158.3,1004880003
1088605;1007369,Multifamily Housing,,76.8,1004890001
1087061,Office,86,131.8,1004917502
1088431,Hotel,16,293.9,1004917503
1007484,Multifamily Housing,,108.5,1004930041
1007521,Multifamily Housing,28,105.4,1004950002
1007524,Multifamily Housing,2,241.4,1004950011
1007530,Multifamily Housing,95,87.9,1004950033
1079952,Office,75,169.2,1004960036
1007556,Office,34,239.4,1004960040
1007561,Office,80,156,1004970004
1007564,Office,100,24.6,1004970009
1079955,Office,58,189.3,1004970012
1007567,Office,81,234.2,1004970018
Not Available,Multifamily Housing,,76.5,1004980005
1007574,Multifamily Housing,1,439.1,1004980007
1088114,Office,22,326.6,1004980009
1007576,Office,55,238.8,1004980011
1007579,Multifamily Housing,,,1004987502
1007673;1087557,Multifamily Housing,,153.1,1004997505
1007639,Multifamily Housing,,105.5,1005000005
1066772;1007712,Office,63,189.1,1005010015
1079973;1079974;1079975,Multifamily Housing,75,106.7,1005010020
1007713,Multifamily Housing,,114,1005017501
1007817,Office,64,202.3,1005050001
1007822,Office,85,158.6,1005050031
1007832,Multifamily Housing,74,107.9,1005060027
1007825,Office,72,,1005067501
1007894,Multifamily Housing,60,180.9,1005080025
1007888,Multifamily Housing,44,110.6,1005087502
1007929,Office,86,151.7,1005100001
1007931,Multifamily Housing,23,174.2,1005107501
1007941,Office,86,145.1,1005107502
1007942,Office,67,215.6,1005110001
1007943,Office,90,132.3,1005110006
1079998,Office,86,150.4,1005110008
1007944,Office,83,159.9,1005110012
1007945,Office,,,1005110015
1007946,Retail Store,19,326.1,1005110016
1007953,Multifamily Housing,,84,1005120020
1080019,Office,21,319,1005120023
1007955,Multifamily Housing,5,199.1,1005127501
1007956,Office,95,,1005127502
1007983,Hotel,3,429.5,1005130035
1808455;1086552;1808457;1804534;1808453;1812330,Multifamily Housing,1,300.5,1005137503
1008015,Multifamily Housing,,97.9,1005150031
1008013,Multifamily Housing,,165.4,1005157502
1008024,Multifamily Housing,28,108.3,1005160007
1008028,Multifamily Housing,93,79.8,1005160026
1008117,Office,85,157.6,1005190070
1008118,Office,80,189.9,1005200001
1084825,Multifamily Housing,73,107.3,1005210045
1008182,Multifamily Housing,,73.7,1005217505
1080050;1080049,Office,,319.3,1005220005
1008211,Office,68,,1005220008
1008212,Office,51,,1005220010
1008213,Office,78,,1005220012
1008236,Multifamily Housing,,87.2,1005230038
1008237,Office,,,1005230044
1008238,Office,66,,1005230046
1008240,Office,70,196.5,1005230048
1008241,Multifamily Housing,,127.9,1005240001
1008243,Multifamily Housing,100,2.2,1005240066
1083503,Multifamily Housing,4,210.1,1005257501
1008266,Multifamily Housing,63,143.9,1005257506
1008350,Multifamily Housing,,159.5,1005270027
1008351,Multifamily Housing,100,75.3,1005280001
1088511,Senior Care Community,4,374.3,1005280012
1066793,Multifamily Housing,,134.5,1005287501
1008418,Multifamily Housing,,161.1,1005290001
1008454,Office,89,,1005290072
1008455,Office,80,154.6,1005297501
1008423,Multifamily Housing,56,185.9,1005297504
1087669,Multifamily Housing,,188.2,1005297508
1008495,Multifamily Housing,11,153.5,1005307505
1008506,Multifamily Housing,,280.5,1005310001
1008529,Multifamily Housing,,161.6,1005317501
1008509,Retail Store,1,,1005317504
1066869,Residence Hall/Dormitory,100,25.2,1005320008
1083504;1008619,Office,,83.3,1005320015
1084761,Multifamily Housing,10,156.8,1005320020
1077836,Multifamily Housing,100,52.3,1005330001
1077346,College/University,,0.2,1005350001
1008626,Library,,0,1005350008
1008627,College/University,,9416.2,1005350036
1008629,Multifamily Housing,50,124.3,1005357501
1008662,Social/Meeting Hall,,83.7,1005380040
1089865,Multifamily Housing,99,75.3,1005390001
1008680,Multifamily Housing,69,132.8,1005390031
1008701,Residence Hall/Dormitory,100,12.3,1005400014
1008707,Office,,140.7,1005400030
1008716,Library,,6.4,1005410001
1082207,College/University,,158.7,1005410018
1086188,College/University,,33.1,1005417501
1008725,Multifamily Housing,73,127.3,1005420025
10800084,Office,64,256.6,1005440001
1008773,Office,94,,1005440013
1008779,Office,71,209.4,1005440048
1008780,College/University,,206.4,1005440050
"10,882,071,088,594",Multifamily Housing,2,206.5,1005440065
1008788,College/University,,260.4,1005440076
1008776,Multifamily Housing,18,177.4,1005447501
1087152,Multifamily Housing,3,232.4,1005447502
1080090;1080089,College/University,,14.6,1005450006
1008793,Multifamily Housing,34,131.3,1005450011
1008796,College/University,,145,1005450015
1080092,Office,61,226.8,1005450026
1008806,Multifamily Housing,,,1005450059
1008789,Office,,276.4,1005457501
1008790,Multifamily Housing,,166.7,1005457502
1008807,Multifamily Housing,3,192,1005457503
1008810,College/University,,168,1005460010
1008811,College/University,,4.3,1005460011
1008812,College/University,,0,1005460015
1080100,College/University,,93.6,1005460021
1008814,College/University,,109.7,1005460026
1008816;1008817;1008818,College/University,,66.4,1005460031
1008819,College/University,,97.4,1005460040
1008820,College/University,,39.2,1005470001
1008822,College/University,,0,1005470005
1008823,College/University,,0,1005470008
1008828,Multifamily Housing,,,1005470020
1008831,College/University,,60.8,1005470030
1008832,Multifamily Housing,,,1005480001
1008837,Multifamily Housing,61,124.9,1005480028
1008838,Multifamily Housing,40,166.4,1005480040
